category,image1,image2,dhash,avghash,phash,whash,nrmse,ssim
cat,cat-box.png,cat-wm-small.png,0.066,0.027,0.109,0.055,0.104,0.021
cat,cat-wm-small.png,cat-box.png,0.066,0.027,0.109,0.055,0.103,0.021
cityscape,cityscape-hue.png,cityscape-wm-big.png,0.066,0.047,0.078,0.055,0.197,0.107
cityscape,cityscape-wm-big.png,cityscape-hue.png,0.066,0.047,0.078,0.055,0.198,0.107
nature-2,nature-2-box.png,nature-2.png,0.066,0.02,0.289,0.008,0.079,0.024
nature-2,nature-2.png,nature-2-box.png,0.066,0.02,0.289,0.008,0.079,0.024
cityscape,cityscape-box.png,cityscape-wm-big.png,0.07,0.066,0.18,0.031,0.125,0.037
cityscape,cityscape-wm-big.png,cityscape-box.png,0.07,0.066,0.18,0.031,0.123,0.037
nature-2,nature-2-box.png,nature-2-wm-small.png,0.07,0.027,0.281,0.008,0.081,0.028
nature-2,nature-2-hue.png,nature-2-wm-big.png,0.07,0.027,0.07,0.008,0.169,0.098
nature-2,nature-2-wm-big.png,nature-2-hue.png,0.07,0.027,0.07,0.008,0.167,0.098
nature-2,nature-2-wm-small.png,nature-2-box.png,0.07,0.027,0.281,0.008,0.081,0.028
cat,cat-box.png,cat-wm-big.png,0.074,0.039,0.125,0.055,0.128,0.03
cat,cat-clonestamp.png,cat-hue.png,0.074,0.059,0.086,0.094,0.319,0.158
cat,cat-hue.png,cat-clonestamp.png,0.074,0.059,0.086,0.094,0.322,0.158
cat,cat-hue.png,cat-wm-big.png,0.074,0.043,0.086,0.047,0.334,0.168
cat,cat-hue.png,cat-wm-small.png,0.074,0.039,0.062,0.047,0.325,0.161
cat,cat-wm-big.png,cat-box.png,0.074,0.039,0.125,0.055,0.127,0.03
cat,cat-wm-big.png,cat-hue.png,0.074,0.043,0.086,0.047,0.328,0.168
cat,cat-wm-small.png,cat-hue.png,0.074,0.039,0.062,0.047,0.321,0.161
cityscape,cityscape-box.png,cityscape-no-cn-tower.png,0.074,0.039,0.164,0.023,0.122,0.031
cityscape,cityscape-clonestamp.png,cityscape-hue.png,0.074,0.039,0.18,0.031,0.212,0.12
cityscape,cityscape-hue.png,cityscape-clonestamp.png,0.074,0.039,0.18,0.031,0.21,0.12
cityscape,cityscape-no-cn-tower.png,cityscape-box.png,0.074,0.039,0.164,0.023,0.12,0.031
nature-1,nature-1-box.png,nature-1-wm-small.png,0.074,0.035,0.195,0.125,0.093,0.033
nature-1,nature-1-wm-small.png,nature-1-box.png,0.074,0.035,0.195,0.125,0.094,0.033
cat,cat-clonestamp.png,cat-wm-big.png,0.078,0.047,0.102,0.078,0.119,0.027
cat,cat-clonestamp.png,cat-wm-small.png,0.078,0.043,0.086,0.07,0.093,0.018
cat,cat-wm-big.png,cat-clonestamp.png,0.078,0.047,0.102,0.078,0.118,0.027
cat,cat-wm-small.png,cat-clonestamp.png,0.078,0.043,0.086,0.07,0.093,0.018
nature-1,nature-1-clonestamp.png,nature-1.png,0.082,0.055,0.312,0.102,0.175,0.063
nature-1,nature-1.png,nature-1-clonestamp.png,0.082,0.055,0.312,0.102,0.17,0.063
cat,cat-box.png,cat-hue.png,0.086,0.066,0.078,0.078,0.326,0.168
cat,cat-hue.png,cat-box.png,0.086,0.066,0.078,0.078,0.329,0.168
nature-1,nature-1-box.png,nature-1-wm-big.png,0.086,0.035,0.188,0.133,0.116,0.045
nature-1,nature-1-wm-big.png,nature-1-box.png,0.086,0.035,0.188,0.133,0.116,0.045
cat,cat-box.png,cat-clonestamp.png,0.09,0.07,0.117,0.125,0.119,0.028
cat,cat-clonestamp.png,cat-box.png,0.09,0.07,0.117,0.125,0.119,0.028
cityscape,cityscape-box.png,cityscape-hue.png,0.09,0.043,0.148,0.047,0.222,0.117
cityscape,cityscape-hue.png,cityscape-box.png,0.09,0.043,0.148,0.047,0.218,0.117
nature-2,nature-2-box.png,nature-2-hue.png,0.09,0.035,0.273,0.008,0.179,0.104
nature-2,nature-2-box.png,nature-2-wm-big.png,0.09,0.031,0.305,0.008,0.088,0.036
nature-2,nature-2-clonestamp.png,nature-2.png,0.09,0.051,0.43,0.07,0.13,0.035
nature-2,nature-2-hue.png,nature-2-box.png,0.09,0.035,0.273,0.008,0.181,0.104
nature-2,nature-2-wm-big.png,nature-2-box.png,0.09,0.031,0.305,0.008,0.087,0.036
nature-2,nature-2.png,nature-2-clonestamp.png,0.09,0.051,0.43,0.07,0.128,0.035
nature-1,nature-1-clonestamp.png,nature-1-wm-small.png,0.094,0.055,0.312,0.141,0.179,0.069
nature-1,nature-1-wm-small.png,nature-1-clonestamp.png,0.094,0.055,0.312,0.141,0.174,0.069
nature-2,nature-2-box.png,nature-2-clonestamp.png,0.094,0.062,0.328,0.062,0.131,0.051
nature-2,nature-2-clonestamp.png,nature-2-box.png,0.094,0.062,0.328,0.062,0.134,0.051
nature-2,nature-2-clonestamp.png,nature-2-wm-small.png,0.094,0.043,0.422,0.07,0.131,0.039
nature-2,nature-2-wm-small.png,nature-2-clonestamp.png,0.094,0.043,0.422,0.07,0.128,0.039
nature-1,nature-1-box.png,nature-1-hue.png,0.098,0.035,0.164,0.125,0.153,0.125
nature-1,nature-1-hue.png,nature-1-box.png,0.098,0.035,0.164,0.125,0.154,0.125
